"","endTime","artistName","trackName","msPlayed","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"6183","2023-10-05 18:32","Taco Hemingway","#6 - DOBRY JAK DOBRY",1850,0.737,0.614,9,-14.452,0,0.94,0.862,0,0.717,0.904,73.079,"audio_features","1CJEjyiyWJOv3fPWKijJbF","spotify:track:1CJEjyiyWJOv3fPWKijJbF","https://api.spotify.com/v1/tracks/1CJEjyiyWJOv3fPWKijJbF","https://api.spotify.com/v1/audio-analysis/1CJEjyiyWJOv3fPWKijJbF",45629,3,"polish hip hop"
"6192","2023-10-05 18:32","Taco Hemingway","#4 - NESESER",1420,0.669,0.476,7,-14.632,0,0.553,0.727,0,0.428,0.953,100.411,"audio_features","5k8mKI1zDQ6Q3Ngs0hpEww","spotify:track:5k8mKI1zDQ6Q3Ngs0hpEww","https://api.spotify.com/v1/tracks/5k8mKI1zDQ6Q3Ngs0hpEww","https://api.spotify.com/v1/audio-analysis/5k8mKI1zDQ6Q3Ngs0hpEww",55764,4,"polish hip hop"
"6202","2023-10-05 18:32","Taco Hemingway","Może To Coś Zmieni?",188080,0.633,0.593,11,-8.639,0,0.427,0.152,0,0.654,0.458,139.523,"audio_features","13G5bpGzFMaqx2mYPvbjHC","spotify:track:13G5bpGzFMaqx2mYPvbjHC","https://api.spotify.com/v1/tracks/13G5bpGzFMaqx2mYPvbjHC","https://api.spotify.com/v1/audio-analysis/13G5bpGzFMaqx2mYPvbjHC",188080,4,"polish hip hop"
"6217","2023-10-05 18:32","Taco Hemingway","#7 - PRACA DOMOWA",920,0.649,0.619,9,-13.039,0,0.877,0.732,0,0.13,0.971,102.157,"audio_features","5pzXvjaigKWDkYFfgKHxMA","spotify:track:5pzXvjaigKWDkYFfgKHxMA","https://api.spotify.com/v1/tracks/5pzXvjaigKWDkYFfgKHxMA","https://api.spotify.com/v1/audio-analysis/5pzXvjaigKWDkYFfgKHxMA",21095,4,"polish hip hop"
"6223","2023-10-05 18:34","Taco Hemingway","TU RADIO MARMUR #1",7145,0.795,0.91,8,-8.703,1,0.234,0.0269,0,0.113,0.767,124.87,"audio_features","2pUCPPMwLJp6ocp3SENmtA","spotify:track:2pUCPPMwLJp6ocp3SENmtA","https://api.spotify.com/v1/tracks/2pUCPPMwLJp6ocp3SENmtA","https://api.spotify.com/v1/audio-analysis/2pUCPPMwLJp6ocp3SENmtA",17962,5,"polish hip hop"
"6233","2023-10-05 18:34","Taco Hemingway","1000 Dni Freestyle",97954,0.75,0.656,7,-9.377,1,0.758,0.778,0,0.31,0.965,95.594,"audio_features","3GmDHFHJlF9invl8Zqanag","spotify:track:3GmDHFHJlF9invl8Zqanag","https://api.spotify.com/v1/tracks/3GmDHFHJlF9invl8Zqanag","https://api.spotify.com/v1/audio-analysis/3GmDHFHJlF9invl8Zqanag",97954,4,"polish hip hop"
"6242","2023-10-05 18:34","Taco Hemingway","#3 - TUTTO PASSA",960,0.693,0.654,9,-13.987,1,0.93,0.634,0,0.56,0.963,128,"audio_features","5Jhl2xxtIk1n9xINPT5UDl","spotify:track:5Jhl2xxtIk1n9xINPT5UDl","https://api.spotify.com/v1/tracks/5Jhl2xxtIk1n9xINPT5UDl","https://api.spotify.com/v1/audio-analysis/5Jhl2xxtIk1n9xINPT5UDl",51509,4,"polish hip hop"
"6253","2023-10-05 19:27","Kacperczyk","Jakbym zjadł mentosy i popił je colą",1900,0.784,0.715,4,-5.576,0,0.21,0.276,0,0.117,0.695,130.04,"audio_features","2nc3VYvWHGckELkcmzssWa","spotify:track:2nc3VYvWHGckELkcmzssWa","https://api.spotify.com/v1/tracks/2nc3VYvWHGckELkcmzssWa","https://api.spotify.com/v1/audio-analysis/2nc3VYvWHGckELkcmzssWa",168351,4,"polish hip hop"
"6273","2023-10-05 20:31","Måneskin","READ YOUR DIARY",150695,0.54,0.856,7,-5.181,1,0.0568,0.000189,7.67e-05,0.0772,0.672,131.951,"audio_features","16HsEMkim07LboMyhR81eu","spotify:track:16HsEMkim07LboMyhR81eu","https://api.spotify.com/v1/tracks/16HsEMkim07LboMyhR81eu","https://api.spotify.com/v1/audio-analysis/16HsEMkim07LboMyhR81eu",150696,4,"indie rock italiano"
"6283","2023-10-05 20:36","David Bowie","Moonage Daydream - 2012 Remaster",279693,0.56,0.605,11,-11.209,0,0.0348,0.0408,0.000162,0.0585,0.756,144.478,"audio_features","6mib3N4E8PZHAGQ3xy7bho","spotify:track:6mib3N4E8PZHAGQ3xy7bho","https://api.spotify.com/v1/tracks/6mib3N4E8PZHAGQ3xy7bho","https://api.spotify.com/v1/audio-analysis/6mib3N4E8PZHAGQ3xy7bho",279693,4,"art rock"
